Designator,Footprint,Quantity,Value,LCSC Part #
C1,C0805,1,,C49678
C2,C1206,1,,C15008
"CN1, CN2",AUDIO-SMD_PJ-327A5JJ,2,,C668605
DC1,DC-IN-TH_DC-005-A200,1,,C720557
"LED1, LED10, LED11, LED12, LED13, LED14, LED15, LED16, LED17, LED18, LED19, LED2, LED20, LED21, LED22, LED23, LED24, LED25, LED26, LED27, LED28, LED29, LED3, LED30, LED31, LED32, LED33, LED34, LED35, LED36, LED4, LED5, LED6, LED7, LED8, LED9",LED0603-RD_BLUE,36,,C965807
Q1,SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR,1,,C347475
R1,R0805,1,,C95781
"R10, R11, R12, R13, R14, R15, R16, R17, R18, R19, R20, R21, R22, R23, R24, R25, R26, R27, R28, R29, R30, R31, R32, R33, R34, R35, R36, R37, R38, R39, R4, R5, R6, R7, R8, R9",R0805,36,,C114245
R2,R0805,1,,C105577
R3,R0805,1,,C2907217
U1,SMD-4_L4.6-W6.5-P2.54-LS10.2-TL,1,,C66405
USB1,USB-A-SMD_USB-234-BCW,1,,C720528
